dates,number_of_marriage
2023-12-02,15
2022-02-05,14
2018-01-07,10
2020-01-13,8
2023-12-09,10
2019-03-14,8
2023-06-12,6
2022-10-10,16
2019-07-26,9
2021-04-16,13
2020-10-20,8
2023-02-06,6
2023-07-30,18
2018-07-08,9
2023-08-31,14
2018-05-24,6
2019-06-05,9
2018-08-22,10
2022-06-03,7
2021-09-30,10
2019-08-15,9
2018-10-21,8
2018-11-25,9
2019-10-31,17
2023-03-10,13
2020-05-15,21
2019-02-26,12
2022-12-09,13
2019-04-12,17
2020-06-27,17
2022-01-31,13
2021-08-13,10
2023-06-04,8
2022-02-09,13
2023-08-17,8
2022-10-23,9
2018-05-17,9
2020-06-20,12
2019-05-04,11
2018-02-21,11
2019-07-02,13
2020-10-24,14
2019-10-18,8
2020-06-28,11
2023-06-27,11
2020-12-07,15
2021-01-05,10
2021-11-19,5
2021-12-06,10
2018-08-07,6
2021-05-12,12
2022-02-24,7
2021-10-30,5
2020-09-18,13
2018-12-30,6
2019-06-05,19
2020-10-07,10
2022-11-17,11
2023-12-19,13
2021-10-02,10
2018-09-30,11
2020-08-14,11
2022-12-15,11
2021-03-24,5
2023-10-03,6
2021-07-24,7
2021-02-03,10
2023-03-22,13
2020-01-07,7
2020-10-15,11
2023-03-05,7
2018-04-20,11
2023-04-19,8
2021-06-10,8
2023-09-18,10
2021-12-23,12
2022-04-18,20
2023-04-25,6
2020-08-11,10
2023-09-14,5
2020-10-14,11
2022-01-18,13
2019-03-08,9
2018-03-03,8
2020-11-14,9
2021-07-31,10
2023-03-05,7
2020-06-25,9
2020-04-16,12
2019-11-24,5
2018-05-27,11
2019-03-02,6
2020-03-18,9
2019-01-21,14
2020-11-22,12
2021-01-10,14
2023-05-29,10
2018-03-26,16
2021-11-18,15
2018-03-29,13
